HRR,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months",senior_ratio,population_density,hospital_utilization
"Columbia, MO",901.0,1392.0,77.0,138.0,557924.0,115795.0,111585.0,23401.0,5073.0,1560.0,173.0,112.0,83.0,780.0,87.0,56.0,41.0,509.0,56.0,37.0,27.0,338.0,439.0,245.0,170.0,169.0,219.0,122.0,85.0,110.0,143.0,80.0,55.0,0.2075461890866856,296.2952734997345,0.5215082315454063
"Columbia, SC",1053.0,2040.0,151.0,275.0,975665.0,189632.0,195133.0,40678.0,8756.0,2712.0,258.0,133.0,90.0,1356.0,129.0,66.0,45.0,884.0,84.0,43.0,29.0,584.0,387.0,212.0,147.0,292.0,193.0,106.0,73.0,190.0,126.0,69.0,48.0,0.1943617942633998,322.4272967614012,0.6520158625247852
"Columbus, GA",547.0,826.0,33.0,54.0,280815.0,48222.0,56163.0,11587.0,2463.0,772.0,141.0,93.0,70.0,386.0,71.0,47.0,35.0,252.0,46.0,31.0,23.0,164.0,497.0,304.0,219.0,82.0,248.0,152.0,109.0,54.0,164.0,100.0,72.0,0.171721596068586,254.13122171945705,0.5049773755656108
"Columbus, OH",2792.0,4620.0,235.0,457.0,2405737.0,441233.0,481147.0,99801.0,21352.0,6653.0,238.0,144.0,103.0,3327.0,119.0,72.0,52.0,2170.0,78.0,47.0,34.0,1423.0,606.0,311.0,210.0,712.0,303.0,156.0,105.0,464.0,197.0,102.0,68.0,0.183408660215144,373.0403163281129,0.567064661187781
"Contra Costa County, CA",675.0,1201.0,81.0,142.0,844608.0,159096.0,168922.0,35118.0,7534.0,2341.0,347.0,195.0,136.0,1171.0,173.0,98.0,68.0,763.0,113.0,64.0,44.0,502.0,620.0,354.0,247.0,251.0,310.0,177.0,124.0,164.0,202.0,115.0,81.0,0.1883666742441464,489.0607990735379,0.609148812970469
"Corpus Christi, TX",357.0,746.0,38.0,102.0,439951.0,83055.0,87990.0,18296.0,3926.0,1220.0,342.0,164.0,107.0,610.0,171.0,82.0,54.0,398.0,111.0,53.0,35.0,262.0,689.0,257.0,157.0,131.0,345.0,128.0,78.0,85.0,224.0,83.0,51.0,0.1887823871294758,387.6220264317181,0.6854625550660793
"Covington, KY",280.0,554.0,39.0,66.0,327040.0,57022.0,65408.0,13511.0,2876.0,901.0,322.0,163.0,109.0,450.0,161.0,81.0,54.0,294.0,105.0,53.0,36.0,192.0,492.0,291.0,206.0,96.0,246.0,145.0,103.0,63.0,162.0,95.0,68.0,0.1743578767123287,394.975845410628,0.6618357487922706
"Dallas, TX",3679.0,7132.0,450.0,871.0,3918830.0,583050.0,783766.0,159993.0,33556.0,10666.0,290.0,150.0,101.0,5333.0,145.0,75.0,50.0,3478.0,95.0,49.0,33.0,2237.0,497.0,257.0,173.0,1119.0,249.0,128.0,87.0,729.0,162.0,84.0,56.0,0.1487816516664412,370.22484648086913,0.6524326877657062
"Danville, PA",510.0,1087.0,33.0,102.0,481423.0,99782.0,96285.0,20190.0,4376.0,1346.0,264.0,124.0,81.0,673.0,132.0,62.0,40.0,439.0,86.0,40.0,26.0,292.0,885.0,286.0,171.0,146.0,442.0,143.0,85.0,95.0,288.0,93.0,56.0,0.2072647131524667,289.3167067307692,0.6935096153846154
"Davenport, IA",699.0,1157.0,66.0,102.0,379562.0,86153.0,75912.0,16060.0,3518.0,1071.0,153.0,93.0,66.0,535.0,77.0,46.0,33.0,349.0,50.0,30.0,22.0,235.0,356.0,230.0,169.0,117.0,177.0,115.0,84.0,76.0,115.0,75.0,55.0,0.2269800454207744,235.16852540272612,0.5669144981412639
"Dayton, OH",749.0,1410.0,89.0,192.0,825712.0,177147.0,165142.0,34743.0,7560.0,2316.0,309.0,164.0,112.0,1158.0,155.0,82.0,56.0,755.0,101.0,54.0,36.0,504.0,566.0,263.0,171.0,252.0,283.0,131.0,86.0,164.0,184.0,85.0,56.0,0.2145384831515104,398.8946859903382,0.6381642512077295
"Dearborn, MI",462.0,951.0,95.0,142.0,382586.0,75636.0,76517.0,15975.0,3445.0,1065.0,231.0,112.0,74.0,532.0,115.0,56.0,37.0,347.0,75.0,36.0,24.0,230.0,242.0,162.0,122.0,115.0,121.0,81.0,61.0,75.0,79.0,53.0,40.0,0.1976967270103976,265.8693537178596,0.6789437109103544
"Denver, CO",2269.0,3931.0,325.0,584.0,2380353.0,379848.0,476071.0,97671.0,20614.0,6511.0,287.0,166.0,116.0,3256.0,143.0,83.0,58.0,2123.0,94.0,54.0,38.0,1374.0,423.0,235.0,163.0,687.0,211.0,118.0,81.0,448.0,138.0,77.0,53.0,0.1595763317457536,425.5950295011622,0.5943143214732702
"Des Moines, IA",1193.0,1977.0,76.0,125.0,869785.0,168710.0,173957.0,36257.0,7802.0,2417.0,203.0,122.0,88.0,1209.0,101.0,61.0,44.0,788.0,66.0,40.0,29.0,520.0,684.0,416.0,301.0,260.0,342.0,208.0,150.0,170.0,224.0,136.0,98.0,0.1939674747207643,315.1394927536232,0.5677536231884057
"Detroit, MI",1333.0,2728.0,163.0,336.0,1315527.0,254755.0,263105.0,54830.0,11797.0,3655.0,274.0,134.0,89.0,1828.0,137.0,67.0,44.0,1192.0,89.0,44.0,29.0,786.0,482.0,234.0,154.0,393.0,241.0,117.0,77.0,256.0,157.0,76.0,50.0,0.1936524297866938,319.0703371331555,0.6766917293233083
